mim_id	hpo_id	ic
100300	HP_0000142	0.55031
100300	HP_0000175	0.34598
100300	HP_0000177	0.29599
100300	HP_0000202	0.33609
100300	HP_0000204	0.45007
100300	HP_0000252	0.24885
100300	HP_0000565	0.53148
100300	HP_0000568	0.4107
100300	HP_0000965	0.62193
100300	HP_0001057	0.64241
100300	HP_0001156	0.39678
100300	HP_0001159	0.38559
100300	HP_0001249	0.18714
100300	HP_0001250	0.19382
100300	HP_0001252	0.19555
100300	HP_0001263	0.20195
100300	HP_0001290	0.23344
100300	HP_0001302	0.53591
100300	HP_0001362	0.77145
100300	HP_0001596	0.48099
100300	HP_0001629	0.38942
100300	HP_0001631	0.39817
100300	HP_0001636	0.54531
100300	HP_0001642	0.5191
100300	HP_0001647	0.58932
100300	HP_0001650	0.58932
100300	HP_0001710	0.5191
100300	HP_0001762	0.37769
100300	HP_0001770	0.4898
100300	HP_0001780	0.33085
100300	HP_0001792	0.52108
100300	HP_0001883	0.37085
100300	HP_0001961	0.71836
100300	HP_0002011	0.12408
100300	HP_0002079	0.38007
100300	HP_0002084	0.55289
100300	HP_0002092	0.561
100300	HP_0002118	0.31711
100300	HP_0002119	0.36077
100300	HP_0002126	0.501
100300	HP_0002518	0.59667
100300	HP_0002536	0.41306
100300	HP_0002538	0.40172
100300	HP_0002539	0.64814
100300	HP_0002558	0.68193
100300	HP_0002648	0.29956
100300	HP_0004383	0.77145
100300	HP_0004404	0.48829
100300	HP_0004415	0.64241
100300	HP_0005120	0.39609
100300	HP_0007364	0.22355
100300	HP_0007370	0.32698
100300	HP_0008056	0.37422
100300	HP_0008386	0.48099
100300	HP_0010438	0.38685
100300	HP_0011276	0.3703
100300	HP_0011362	0.34288
100300	HP_0011927	0.33986
100300	HP_0011994	0.39678
100300	HP_0012638	0.08346
100300	HP_0012758	0.17112
100300	HP_0012759	0.13142
100300	HP_0020045	0.52932
100300	HP_0030966	0.57275
100300	HP_0031652	0.53591
100300	HP_0031654	0.5097
100300	HP_0100737	0.3442
100300	HP_0100887	0.39678
100300	HP_0410030	0.44066
101800	HP_0000028	0.33007
101800	HP_0000035	0.31096
101800	HP_0000080	0.36491
101800	HP_0000135	0.42043
101800	HP_0000238	0.41628
101800	HP_0000248	0.46148
101800	HP_0000277	0.28038
101800	HP_0000286	0.38749
101800	HP_0000303	0.47412
101800	HP_0000306	0.4265
101800	HP_0000316	0.3103
101800	HP_0000327	0.52309
101800	HP_0000364	0.22855
101800	HP_0000365	0.22922
101800	HP_0000422	0.29309
101800	HP_0000429	0.3529
101800	HP_0000436	0.43011
101800	HP_0000455	0.54531
101800	HP_0000463	0.37947
101800	HP_0000486	0.29986
101800	HP_0000492	0.25163
101800	HP_0000549	0.29511
101800	HP_0000635	0.65416
101800	HP_0000648	0.36077
101800	HP_0000668	0.49607
101800	HP_0000684	0.52309
101800	HP_0000689	0.51716
101800	HP_0000692	0.39541
101800	HP_0000858	0.43103
101800	HP_0000925	0.22012
101800	HP_0000927	0.41792
101800	HP_0000995	0.72955
101800	HP_0001000	0.38188
101800	HP_0001169	0.65416
101800	HP_0001249	0.18714
101800	HP_0001530	0.83717
101800	HP_0001844	0.4689
101800	HP_0001847	0.74193
101800	HP_0001964	0.54289
101800	HP_0002118	0.31711
101800	HP_0002648	0.29956
101800	HP_0002650	0.27317
101800	HP_0002921	0.35975
101800	HP_0003026	0.42128
101800	HP_0003042	0.5791
101800	HP_0003083	0.62193
101800	HP_0003117	0.41227
101800	HP_0003165	0.71836
101800	HP_0003312	0.38434
101800	HP_0003416	0.71836
101800	HP_0003498	0.46268
101800	HP_0003764	0.5791
101800	HP_0003995	0.61732
101800	HP_0004279	0.53367
101800	HP_0004437	0.68193
101800	HP_0004490	0.81097
101800	HP_0005105	0.29196
101800	HP_0005280	0.36597
101800	HP_0005288	0.37537
101800	HP_0005616	0.58582
101800	HP_0005914	0.45911
101800	HP_0005927	0.33446
101800	HP_0006292	0.47958
101800	HP_0008034	0.5191
101800	HP_0008373	0.34072
101800	HP_0008417	0.69003
101800	HP_0008438	0.71836
101800	HP_0008873	0.501
101800	HP_0008897	0.47148
101800	HP_0009767	0.41306
101800	HP_0009803	0.43867
101800	HP_0009804	0.44269
101800	HP_0010049	0.47148
101800	HP_0010230	0.63695
101800	HP_0010511	0.67435
101800	HP_0010579	0.59294
101800	HP_0010655	0.63172
101800	HP_0010674	0.25866
101800	HP_0010743	0.561
101800	HP_0012759	0.13142
101800	HP_0012795	0.32851
101800	HP_0100530	0.69874
101800	HP_0100744	0.57588
101800	HP_0100871	0.38127
101800	HP_0100886	0.26821
102200	HP_0000280	0.45116
102200	HP_0000822	0.41227
102200	HP_0000845	0.77145
102200	HP_0000858	0.43103
102200	HP_0001637	0.32851
102200	HP_0001638	0.33046
102200	HP_0001712	0.53819
102200	HP_0001714	0.50269
102200	HP_0001999	0.27734
102200	HP_0002893	0.72955
102200	HP_0006767	0.83717
102200	HP_0008373	0.34072
102200	HP_0010514	0.62193
102200	HP_0030972	0.39007
102200	HP_0040278	0.83717
103470	HP_0000365	0.22922
103470	HP_0000407	0.28944
103470	HP_0000486	0.29986
103470	HP_0000504	0.25551
103470	HP_0000505	0.32212
103470	HP_0000539	0.34733
103470	HP_0000540	0.48829
103470	HP_0000549	0.29511
103470	HP_0000587	0.3103
103470	HP_0000613	0.47018
103470	HP_0000639	0.28063
103470	HP_0000708	0.24807
103470	HP_0001000	0.38188
103470	HP_0001003	0.75576
103470	HP_0001010	0.49607
103470	HP_0001093	0.77145
103470	HP_0001098	0.21844
103470	HP_0001107	0.68193
103470	HP_0001751	0.55553
103470	HP_0001756	0.78955
103470	HP_0007663	0.42213
103470	HP_0007730	0.6045
103470	HP_0007750	0.69003
103470	HP_0011125	0.77145
103470	HP_0011389	0.28402
103470	HP_0012547	0.28038
104290	HP_0000639	0.28063
104290	HP_0001249	0.18714
104290	HP_0001266	0.561
104290	HP_0001268	0.38434
104290	HP_0001332	0.3692
104290	HP_0002069	0.52108
104290	HP_0002072	0.48241
104290	HP_0002197	0.45911
104290	HP_0002301	0.67435
104290	HP_0002445	0.69003
104290	HP_0012547	0.28038
104290	HP_0012759	0.13142
104290	HP_0100022	0.19961
104290	HP_0100543	0.33609
104290	HP_0200072	0.91859
104500	HP_0000682	0.51152
104500	HP_0000705	0.64814
104510	HP_0000679	0.75576
104510	HP_0000682	0.51152
104510	HP_0000705	0.64814
104510	HP_0006479	0.72955
104530	HP_0000679	0.75576
104530	HP_0000682	0.51152
104530	HP_0000691	0.54531
104530	HP_0000705	0.64814
104530	HP_0006479	0.72955
105250	HP_0000759	0.26256
105250	HP_0000973	0.53819
105250	HP_0000989	0.63172
105250	HP_0001131	0.60862
105250	HP_0001291	0.42299
105250	HP_0001939	0.1356
105250	HP_0008067	0.49769
105250	HP_0011034	0.64814
105400	HP_0001257	0.28482
105400	HP_0001260	0.33692
105400	HP_0001276	0.26844
105400	HP_0001324	0.25386
105400	HP_0001347	0.31852
105400	HP_0001618	0.63172
105400	HP_0002015	0.39678
105400	HP_0002104	0.47148
105400	HP_0002200	0.74193
105400	HP_0002314	0.75576
105400	HP_0002360	0.4639
105400	HP_0002380	0.55553
105400	HP_0002398	0.72955
