ps_id	mim_id	common_hpo_id	from_root	ic
PS100300	100300	HP_0000142	7	0.55031
PS100300	100300	HP_0000175	7	0.34598
PS100300	100300	HP_0000177	7	0.29599
PS100300	100300	HP_0000202	6	0.33609
PS100300	100300	HP_0000204	8	0.45007
PS100300	100300	HP_0000252	7	0.24885
PS100300	100300	HP_0000565	8	0.53148
PS100300	100300	HP_0000568	6	0.4107
PS100300	100300	HP_0000965	5	0.62193
PS100300	100300	HP_0001057	7	0.64241
PS100300	100300	HP_0001156	7	0.39678
PS100300	100300	HP_0001159	6	0.38559
PS100300	100300	HP_0001249	5	0.18714
PS100300	100300	HP_0001250	4	0.19382
PS100300	100300	HP_0001252	5	0.19555
PS100300	100300	HP_0001263	6	0.20195
PS100300	100300	HP_0001290	6	0.23344
PS100300	100300	HP_0001302	7	0.53591
PS100300	100300	HP_0001362	7	0.77145
PS100300	100300	HP_0001596	6	0.48099
PS100300	100300	HP_0001629	7	0.38942
PS100300	100300	HP_0001631	6	0.39817
PS100300	100300	HP_0001636	8	0.54531
PS100300	100300	HP_0001642	6	0.5191
PS100300	100300	HP_0001647	8	0.58932
PS100300	100300	HP_0001650	6	0.58932
PS100300	100300	HP_0001710	7	0.5191
PS100300	100300	HP_0001762	7	0.37769
PS100300	100300	HP_0001770	6	0.4898
PS100300	100300	HP_0001780	5	0.33085
PS100300	100300	HP_0001792	6	0.52108
PS100300	100300	HP_0001883	6	0.37085
PS100300	100300	HP_0001961	5	0.71836
PS100300	100300	HP_0002011	4	0.12408
PS100300	100300	HP_0002079	8	0.38007
PS100300	100300	HP_0002084	5	0.55289
PS100300	100300	HP_0002092	6	0.561
PS100300	100300	HP_0002118	6	0.31711
PS100300	100300	HP_0002119	7	0.36077
PS100300	100300	HP_0002126	7	0.501
PS100300	100300	HP_0002518	9	0.59667
PS100300	100300	HP_0002536	6	0.41306
PS100300	100300	HP_0002538	8	0.40172
PS100300	100300	HP_0002539	9	0.64814
PS100300	100300	HP_0002558	5	0.68193
PS100300	100300	HP_0002648	6	0.29956
PS100300	100300	HP_0004383	6	0.77145
PS100300	100300	HP_0004404	4	0.48829
PS100300	100300	HP_0004415	7	0.64241
PS100300	100300	HP_0005120	5	0.39609
PS100300	100300	HP_0007364	6	0.22355
PS100300	100300	HP_0007370	7	0.32698
PS100300	100300	HP_0008056	5	0.37422
PS100300	100300	HP_0008386	5	0.48099
PS100300	100300	HP_0010438	6	0.38685
PS100300	100300	HP_0011276	4	0.3703
PS100300	100300	HP_0011362	5	0.34288
PS100300	100300	HP_0011927	6	0.33986
PS100300	100300	HP_0011994	6	0.39678
PS100300	100300	HP_0012638	3	0.08346
PS100300	100300	HP_0012758	5	0.17112
PS100300	100300	HP_0012759	4	0.13142
PS100300	100300	HP_0020045	7	0.52932
PS100300	100300	HP_0030966	6	0.57275
PS100300	100300	HP_0031652	5	0.53591
PS100300	100300	HP_0031654	5	0.5097
PS100300	100300	HP_0100737	8	0.3442
PS100300	100300	HP_0100887	5	0.39678
PS100300	100300	HP_0410030	7	0.44066
PS100300	614219	HP_0000252	7	0.24885
PS100300	614219	HP_0000256	7	0.37365
PS100300	614219	HP_0000294	7	0.59667
PS100300	614219	HP_0000316	6	0.3103
PS100300	614219	HP_0000347	7	0.32323
PS100300	614219	HP_0000357	5	0.31711
PS100300	614219	HP_0000369	6	0.33125
PS100300	614219	HP_0000377	5	0.31711
PS100300	614219	HP_0000411	6	0.54289
PS100300	614219	HP_0000414	7	0.51716
PS100300	614219	HP_0000422	6	0.29309
PS100300	614219	HP_0000436	7	0.43011
PS100300	614219	HP_0000486	6	0.29986
PS100300	614219	HP_0000518	7	0.32031
PS100300	614219	HP_0000519	8	0.48241
PS100300	614219	HP_0000549	5	0.29511
PS100300	614219	HP_0000568	6	0.4107
PS100300	614219	HP_0000599	6	0.54052
PS100300	614219	HP_0000648	9	0.36077
PS100300	614219	HP_0000954	9	0.51716
PS100300	614219	HP_0000965	5	0.62193
PS100300	614219	HP_0001250	4	0.19382
PS100300	614219	HP_0001252	5	0.19555
PS100300	614219	HP_0001263	6	0.20195
PS100300	614219	HP_0001290	6	0.23344
PS100300	614219	HP_0001321	7	0.42739
PS100300	614219	HP_0001560	3	0.42043
PS100300	614219	HP_0001562	4	0.57275
PS100300	614219	HP_0001792	6	0.52108
PS100300	614219	HP_0002059	7	0.35975
PS100300	614219	HP_0002126	7	0.501
PS100300	614219	HP_0002350	7	0.50269
PS100300	614219	HP_0002536	6	0.41306
PS100300	614219	HP_0005105	6	0.29196
PS100300	614219	HP_0005280	7	0.36597
PS100300	614219	HP_0006951	8	0.81097
PS100300	614219	HP_0007364	6	0.22355
PS100300	614219	HP_0007369	6	0.3553
PS100300	614219	HP_0008056	5	0.37422
PS100300	614219	HP_0008386	5	0.48099
PS100300	614219	HP_0010490	8	0.49607
PS100300	614219	HP_0011276	4	0.3703
PS100300	614219	HP_0012638	3	0.08346
PS100300	614219	HP_0012758	5	0.17112
PS100300	614219	HP_0012795	8	0.32851
PS100300	614219	HP_0040194	6	0.37252
PS100300	614219	HP_0045025	10	0.91859
PS100300	614219	HP_0100886	5	0.26821
PS100300	614219	HP_0100887	5	0.39678
PS100300	614219	HP_0200007	9	0.44685
PS100300	614814	HP_0000252	7	0.24885
PS100300	614814	HP_0000581	10	0.49289
PS100300	614814	HP_0001057	7	0.64241
PS100300	614814	HP_0001263	6	0.20195
PS100300	614814	HP_0001770	6	0.4898
PS100300	614814	HP_0001964	6	0.54289
PS100300	614814	HP_0001991	6	0.50791
PS100300	614814	HP_0003026	6	0.42128
PS100300	614814	HP_0004691	7	0.58932
PS100300	614814	HP_0007364	6	0.22355
PS100300	614814	HP_0008065	6	0.47018
PS100300	614814	HP_0009381	6	0.4171
PS100300	614814	HP_0009803	8	0.43867
PS100300	614814	HP_0009835	8	0.52932
PS100300	614814	HP_0009882	7	0.54289
PS100300	614814	HP_0010743	6	0.561
PS100300	614814	HP_0010760	7	0.58582
PS100300	614814	HP_0012745	10	0.57588
PS100300	614814	HP_0012758	5	0.17112
PS100300	614814	HP_0200007	9	0.44685
PS100300	615297	HP_0000965	5	0.62193
PS100300	615297	HP_0001537	5	0.47018
PS100300	615297	HP_0001551	4	0.46268
PS100300	615297	HP_0001629	7	0.38942
PS100300	615297	HP_0001631	6	0.39817
PS100300	615297	HP_0001643	7	0.44475
PS100300	615297	HP_0001792	6	0.52108
PS100300	615297	HP_0001800	7	0.71836
PS100300	615297	HP_0001831	7	0.53591
PS100300	615297	HP_0001991	6	0.50791
PS100300	615297	HP_0002164	5	0.43479
PS100300	615297	HP_0004299	4	0.39338
PS100300	615297	HP_0005120	5	0.39609
PS100300	615297	HP_0008388	5	0.61289
PS100300	615297	HP_0010438	6	0.38685
PS100300	615297	HP_0010624	6	0.66051
PS100300	615297	HP_0011276	4	0.3703
PS100300	615297	HP_0011603	6	0.39747
PS100300	615297	HP_0011927	6	0.33986
PS100300	615297	HP_0011994	6	0.39678
PS100300	615297	HP_0100797	6	0.81097
PS100300	616028	HP_0000023	5	0.44685
PS100300	616028	HP_0001028	5	0.55289
PS100300	616028	HP_0001048	6	0.87096
PS100300	616028	HP_0001057	7	0.64241
PS100300	616028	HP_0001156	7	0.39678
PS100300	616028	HP_0001159	6	0.38559
PS100300	616028	HP_0001250	4	0.19382
PS100300	616028	HP_0001537	5	0.47018
PS100300	616028	HP_0001551	4	0.46268
PS100300	616028	HP_0001642	6	0.5191
PS100300	616028	HP_0001667	7	0.77145
PS100300	616028	HP_0001707	6	0.69003
PS100300	616028	HP_0001714	6	0.50269
PS100300	616028	HP_0001744	5	0.37769
PS100300	616028	HP_0001810	6	0.78955
PS100300	616028	HP_0002031	5	0.52309
PS100300	616028	HP_0002040	6	0.77145
PS100300	616028	HP_0002092	6	0.561
PS100300	616028	HP_0003271	4	0.30964
PS100300	616028	HP_0004299	4	0.39338
PS100300	616028	HP_0008065	6	0.47018
PS100300	616028	HP_0008388	5	0.61289
PS100300	616028	HP_0008404	5	0.47279
PS100300	616028	HP_0011297	5	0.21269
PS100300	616028	HP_0011927	6	0.33986
PS100300	616028	HP_0012638	3	0.08346
PS100300	616028	HP_0025104	6	0.68193
PS100300	616028	HP_0025408	5	0.3529
PS100300	616028	HP_0031654	5	0.5097
PS100300	616589	HP_0000089	8	0.54052
PS100300	616589	HP_0000822	5	0.41227
PS100300	616589	HP_0000965	5	0.62193
PS100300	616589	HP_0001057	7	0.64241
PS100300	616589	HP_0001156	7	0.39678
PS100300	616589	HP_0001159	6	0.38559
PS100300	616589	HP_0001362	7	0.77145
PS100300	616589	HP_0001395	6	0.55289
PS100300	616589	HP_0001409	5	0.66723
PS100300	616589	HP_0001629	7	0.38942
PS100300	616589	HP_0001660	7	0.69003
PS100300	616589	HP_0001792	6	0.52108
PS100300	616589	HP_0001800	7	0.71836
PS100300	616589	HP_0001849	7	0.77145
PS100300	616589	HP_0002031	5	0.52309
PS100300	616589	HP_0002040	6	0.77145
PS100300	616589	HP_0002648	6	0.29956
PS100300	616589	HP_0005180	7	0.74193
PS100300	616589	HP_0006707	4	0.63695
PS100300	616589	HP_0007385	8	0.71836
PS100300	616589	HP_0008678	7	0.47279
PS100300	616589	HP_0010438	6	0.38685
PS100300	616589	HP_0010624	6	0.66051
PS100300	616589	HP_0010760	7	0.58582
PS100300	616589	HP_0011276	4	0.3703
PS100300	616589	HP_0011297	5	0.21269
PS100300	616589	HP_0011603	6	0.39747
PS100300	616589	HP_0011927	6	0.33986
PS100300	616589	HP_0012165	6	0.69003
PS100300	616589	HP_0031651	6	0.72955
PS100300	616589	HP_0410042	5	1.0
PS101800	101800	HP_0000028	8	0.33007
PS101800	101800	HP_0000035	7	0.31096
PS101800	101800	HP_0000080	4	0.36491
PS101800	101800	HP_0000135	4	0.42043
PS101800	101800	HP_0000238	6	0.41628
PS101800	101800	HP_0000248	7	0.46148
PS101800	101800	HP_0000277	7	0.28038
PS101800	101800	HP_0000286	8	0.38749
PS101800	101800	HP_0000303	6	0.47412
PS101800	101800	HP_0000306	5	0.4265
PS101800	101800	HP_0000316	6	0.3103
PS101800	101800	HP_0000327	8	0.52309
PS101800	101800	HP_0000364	4	0.22855
PS101800	101800	HP_0000365	5	0.22922
PS101800	101800	HP_0000422	6	0.29309
PS101800	101800	HP_0000429	7	0.3529
PS101800	101800	HP_0000436	7	0.43011
PS101800	101800	HP_0000455	8	0.54531
PS101800	101800	HP_0000463	7	0.37947
PS101800	101800	HP_0000486	6	0.29986
PS101800	101800	HP_0000492	7	0.25163
PS101800	101800	HP_0000549	5	0.29511
PS101800	101800	HP_0000635	8	0.65416
PS101800	101800	HP_0000648	9	0.36077
PS101800	101800	HP_0000668	10	0.49607
PS101800	101800	HP_0000684	9	0.52309
PS101800	101800	HP_0000689	9	0.51716
PS101800	101800	HP_0000692	8	0.39541
PS101800	101800	HP_0000858	4	0.43103
PS101800	101800	HP_0000925	5	0.22012
PS101800	101800	HP_0000927	4	0.41792
PS101800	101800	HP_0000995	6	0.72955
PS101800	101800	HP_0001000	5	0.38188
PS101800	101800	HP_0001169	6	0.65416
PS101800	101800	HP_0001249	5	0.18714
PS101800	101800	HP_0001530	5	0.83717
PS101800	101800	HP_0001844	6	0.4689
PS101800	101800	HP_0001847	7	0.74193
PS101800	101800	HP_0001964	6	0.54289
PS101800	101800	HP_0002118	6	0.31711
PS101800	101800	HP_0002648	6	0.29956
PS101800	101800	HP_0002650	7	0.27317
PS101800	101800	HP_0002921	5	0.35975
PS101800	101800	HP_0003026	6	0.42128
PS101800	101800	HP_0003042	6	0.5791
PS101800	101800	HP_0003083	7	0.62193
PS101800	101800	HP_0003117	3	0.41227
PS101800	101800	HP_0003165	4	0.71836
PS101800	101800	HP_0003312	7	0.38434
PS101800	101800	HP_0003416	6	0.71836
PS101800	101800	HP_0003498	5	0.46268
PS101800	101800	HP_0003764	6	0.5791
PS101800	101800	HP_0003995	7	0.61732
PS101800	101800	HP_0004279	6	0.53367
PS101800	101800	HP_0004437	5	0.68193
PS101800	101800	HP_0004490	6	0.81097
PS101800	101800	HP_0005105	6	0.29196
PS101800	101800	HP_0005280	7	0.36597
PS101800	101800	HP_0005288	6	0.37537
PS101800	101800	HP_0005616	5	0.58582
PS101800	101800	HP_0005914	6	0.45911
PS101800	101800	HP_0005927	5	0.33446
PS101800	101800	HP_0006292	8	0.47958
PS101800	101800	HP_0008034	7	0.5191
PS101800	101800	HP_0008373	3	0.34072
PS101800	101800	HP_0008417	8	0.69003
PS101800	101800	HP_0008438	8	0.71836
PS101800	101800	HP_0008873	6	0.501
PS101800	101800	HP_0008897	4	0.47148
PS101800	101800	HP_0009767	7	0.41306
PS101800	101800	HP_0009803	8	0.43867
PS101800	101800	HP_0009804	9	0.44269
PS101800	101800	HP_0010049	7	0.47148
PS101800	101800	HP_0010230	7	0.63695
PS101800	101800	HP_0010511	6	0.67435
PS101800	101800	HP_0010579	7	0.59294
PS101800	101800	HP_0010655	4	0.63172
PS101800	101800	HP_0010674	6	0.25866
PS101800	101800	HP_0010743	6	0.561
PS101800	101800	HP_0012759	4	0.13142
PS101800	101800	HP_0012795	8	0.32851
PS101800	101800	HP_0100530	3	0.69874
PS101800	101800	HP_0100744	6	0.57588
PS101800	101800	HP_0100871	5	0.38127
PS101800	101800	HP_0100886	5	0.26821
