mim_id	hpo_id	ic
100300	HP_0007589	1.0
100300	HP_0007590	1.0
100300	HP_0030011	0.919
100300	HP_0006970	0.871
100300	HP_0001362	0.771
100300	HP_0004383	0.771
100300	HP_0002558	0.682
100300	HP_0002539	0.648
100300	HP_0004415	0.642
100300	HP_0000965	0.622
100300	HP_0001647	0.589
100300	HP_0001650	0.589
100300	HP_0002092	0.561
100300	HP_0002084	0.553
100300	HP_0001636	0.545
100300	HP_0001302	0.536
100300	HP_0000565	0.531
100300	HP_0001792	0.521
100300	HP_0001642	0.519
100300	HP_0002126	0.501
100300	HP_0001770	0.49
100300	HP_0001596	0.481
100300	HP_0000204	0.45
100300	HP_0000568	0.411
100300	HP_0001631	0.398
100300	HP_0001156	0.397
100300	HP_0001629	0.389
100300	HP_0002079	0.38
100300	HP_0001762	0.378
100300	HP_0002119	0.361
100300	HP_0000175	0.346
100300	HP_0000252	0.249
100300	HP_0001290	0.233
100300	HP_0001263	0.202
100300	HP_0001250	0.194
100300	HP_0001249	0.187
614219	HP_0045025	0.919
614219	HP_0006951	0.811
614219	HP_0000965	0.622
614219	HP_0000294	0.597
614219	HP_0001562	0.573
614219	HP_0000411	0.543
614219	HP_0001792	0.521
614219	HP_0000414	0.517
614219	HP_0000954	0.517
614219	HP_0002126	0.501
614219	HP_0000519	0.482
614219	HP_0001321	0.427
614219	HP_0000568	0.411
614219	HP_0000256	0.374
614219	HP_0005280	0.366
614219	HP_0000648	0.361
614219	HP_0002059	0.36
614219	HP_0000369	0.331
614219	HP_0000347	0.323
614219	HP_0000316	0.31
614219	HP_0000486	0.3
614219	HP_0000252	0.249
614219	HP_0001290	0.233
614219	HP_0001263	0.202
614219	HP_0001250	0.194
614814	HP_0001057	0.642
614814	HP_0004691	0.589
614814	HP_0010760	0.586
614814	HP_0012745	0.576
614814	HP_0010743	0.561
614814	HP_0009882	0.543
614814	HP_0000581	0.493
614814	HP_0000252	0.249
614814	HP_0001263	0.202
615297	HP_0100797	0.811
615297	HP_0001800	0.718
615297	HP_0000965	0.622
615297	HP_0001831	0.536
615297	HP_0001537	0.47
615297	HP_0001643	0.445
615297	HP_0001631	0.398
615297	HP_0001629	0.389
616028	HP_0025107	1.0
616028	HP_0001971	0.919
616028	HP_0030242	0.919
616028	HP_0001048	0.871
616028	HP_0001810	0.79
616028	HP_0001667	0.771
616028	HP_0002040	0.771
616028	HP_0001057	0.642
616028	HP_0002092	0.561
616028	HP_0001642	0.519
616028	HP_0001537	0.47
616028	HP_0000023	0.447
616028	HP_0001156	0.397
616028	HP_0001159	0.386
616028	HP_0001744	0.378
616028	HP_0001250	0.194
616589	HP_0001362	0.771
616589	HP_0001849	0.771
616589	HP_0002040	0.771
616589	HP_0005180	0.742
616589	HP_0001800	0.718
616589	HP_0007385	0.718
616589	HP_0001660	0.69
616589	HP_0001409	0.667
616589	HP_0000965	0.622
616589	HP_0001395	0.553
616589	HP_0000089	0.541
616589	HP_0001156	0.397
616589	HP_0001629	0.389
616589	HP_0001159	0.386
101800	HP_0005756	1.0
101800	HP_0001530	0.837
101800	HP_0004490	0.811
101800	HP_0008479	0.79
101800	HP_0008450	0.771
101800	HP_0001847	0.742
101800	HP_0000995	0.73
101800	HP_0003165	0.718
101800	HP_0003416	0.718
101800	HP_0000635	0.654
101800	HP_0001169	0.654
101800	HP_0010230	0.637
101800	HP_0003083	0.622
101800	HP_0005616	0.586
101800	HP_0010743	0.561
101800	HP_0000455	0.545
101800	HP_0004279	0.534
101800	HP_0000327	0.523
101800	HP_0000684	0.523
101800	HP_0000689	0.517
